--------------------------------------------------------------------------------
publication + genre + date
--------------------------------------------------------------------------------
3, Scientific American, Research, 2005
3, Nature Chemical Biology, Research, 2009
3, Scientific American, None, 2004
3, Nature, Special Features, 2004
3, Nature Reviews Microbiology, Research, 2008
3, Nature, Reviews, 2003
3, Scientific American, Comments and Opinion, 2008
3, Nature, Reviews, 2000
3, Nature Geoscience, Research Highlights, 2014
3, The ISME Journal, None, 2007
3, Nature, None, 1999
3, Nature Chemistry, Research, 2009
3, Nature Reviews Microbiology, Correspondence, 2010
3, Nature Chemistry, Reviews, 2010
3, Nature, Research Highlights, 2005
3, Nature Climate Change, Special Features, 2014
3, Nature Chemical Biology, Research, 2011
3, Scientific American, None, 2000
3, Nature, Correspondence, 2013
3, Nature Reviews Microbiology, Research, 2014
3, The ISME Journal, Comments and Opinion, 2009
3, Nature, Editorial, 2005
3, Nature Chemical Biology, Reviews, 2006
3, Nature Reviews Microbiology, Correspondence, 2011
3, Nature Reviews Microbiology, News, 2004
3, Scientific American, Special Features, 2015
3, Nature, Reviews, 2002
3, Nature Reviews Microbiology, Research Highlights, 2013
2, Nature Chemical Biology, Reviews, 2007
2, Nature Geoscience, Correspondence, 2011
2, Nature, Amendments and Corrections, 2001
2, Nature News, News, 2006
2, Scientific American, Research, 2002
2, The ISME Journal, Comments and Opinion, 2012
2, Nature Chemical Biology, Reviews, 2012
2, Scientific American, Reviews, 1998
2, Nature Chemical Biology, Comments and Opinion, 2011
2, Nature Communications, Reviews, 2014
2, Nature Reviews Microbiology, Comments and Opinion, 2011
2, Scientific American, Research, 2014
2, Nature Chemical Biology, Reviews, 2009
2, Nature Chemical Biology, Reviews, 2011
2, Nature Reviews Microbiology, Correspondence, 2008
2, Scientific American, Research, 2003
2, Scientific American, Research, 2009
2, Nature Geoscience, Correspondence, 2008
2, Scientific American, News, 2001
2, The ISME Journal, Reviews, 2009
2, Nature Reviews Microbiology, News, 2005
2, Nature Chemistry, Research, 2010
2, Scientific American, None, 2015
2, Nature, Comments and Opinion, 2015
2, Nature, None, 2005
2, Nature Reviews Microbiology, Research Highlights, 2009
2, Scientific American, Research, 2007
2, Nature Reports Climate Change, Editorial, 2009
2, The ISME Journal, Reviews, 2011
2, Nature, Reviews, 1999
2, Nature Reports Climate Change, Special Features, 2010
2, Scientific American, Research, 2000
2, Nature Geoscience, Amendments and Corrections, 2013
2, Nature, Reviews, 2007
2, Nature, Reviews, 2008
2, Nature Chemistry, Comments and Opinion, 2010
2, Nature, Reviews, 2009
2, Nature Chemistry, Research, 2012
2, Scientific American, Comments and Opinion, 2007
2, Nature, Special Features, 2010
2, Nature Reports Climate Change, Editorial, 2007
2, Nature Climate Change, News, 2013
2, Nature, None, 2003
2, The ISME Journal, Reviews, 2013
2, Nature Geoscience, Special Features, 2009
2, Nature Reviews Microbiology, Editorial, 2009
2, Nature Reports Climate Change, News, 2010
2, Nature Chemical Biology, Research, 2006
2, Nature Reviews Microbiology, News, 2011
2, The ISME Journal, Reviews, 2010
2, Nature Geoscience, Editorial, 2008
2, Nature Reviews Microbiology, Research, 2012
1, Nature Reviews Microbiology, Editorial, 2008
1, Nature Geoscience, Comments and Opinion, 2015
1, The ISME Journal, Comments and Opinion, 2013
1, The ISME Journal, Comments and Opinion, 2014
1, Nature Geoscience, Editorial, 2015
1, Scientific American, Reviews, 2003
1, Nature Reports Climate Change, Special Features, 2008
1, Nature Reviews Microbiology, Comments and Opinion, 2006
1, Nature Communications, Reviews, 2011
1, Nature Reviews Microbiology, Amendments and Corrections, 2007
1, Scientific American, Reviews, 2004
1, Scientific American, Reviews, 2001
1, Nature Communications, Reviews, 2015
1, Nature Reviews Microbiology, Correspondence, 2014
1, Nature Reports Climate Change, Correspondence, 2009
1, Scientific American, Research, 2010
1, Nature Chemical Biology, Research Highlights, 2012
1, The ISME Journal, Reviews, 2015
1, Nature Geoscience, News, 2010
1, Nature, None, 2001
1, Nature Geoscience, Comments and Opinion, 2007
1, Nature Reviews Microbiology, Research Highlights, 2004
1, Nature Chemical Biology, Research, 2010
1, Nature Chemistry, Reviews, 2011
1, Scientific American, Comments and Opinion, 2009
1, Nature, Reviews, 2015
1, Nature Chemical Biology, Editorial, 2009
1, The ISME Journal, None, 2010
1, Nature Reviews Microbiology, News, 2014
1, Nature Communications, Reviews, 2010
1, Nature Climate Change, Research Highlights, 2015
1, Nature Chemical Biology, News and Views, 2012
1, Nature Reviews Microbiology, Comments and Opinion, 2007
1, Nature, Reviews, 2004
1, Nature Reviews Microbiology, Special Features, 2007
1, Nature Climate Change, News, 2015
1, Nature Reviews Microbiology, Comments and Opinion, 2014
1, Nature, Special Features, 2013
1, The ISME Journal, None, 2014
1, Nature Chemistry, News and Views, 2009
1, Nature Geoscience, Reviews, 2015
1, Nature Chemistry, Reviews, 2014
1, Nature Reviews Microbiology, Comments and Opinion, 2005
1, Scientific American, Reviews, 2006
1, Nature Chemistry, News and Views, 2011
1, Nature Chemical Biology, Reviews, 2015
1, The ISME Journal, Editorial, 2010
1, Nature Reviews Microbiology, News, 2013
1, Nature, Advertorial, 2003
1, Nature, Amendments and Corrections, 2012
1, Nature, Books and Arts, 2003
1, Scientific American, Comments and Opinion, 2000
1, Nature Reports Climate Change, Correspondence, 2007
1, Nature Geoscience, Amendments and Corrections, 2009
1, Nature Geoscience, Special Features, 2008
1, Nature Reviews Microbiology, Correspondence, 2012
1, Nature Chemical Biology, Reviews, 2010
1, Nature, Editorial, 2008
1, Nature Reviews Microbiology, Special Features, 2008
1, Nature Climate Change, Editorial, 2015
1, Nature, Advertorial, 1998
1, Nature Reviews Microbiology, Amendments and Corrections, 2012
1, Nature Reviews Microbiology, Research, 2013
1, Nature Reviews Microbiology, Editorial, 2010
1, Nature Reviews Microbiology, Editorial, 2004
1, Nature Chemical Biology, Comments and Opinion, 2010
1, Nature Climate Change, Special Features, 2013
1, Nature, Advertorial, 2001
1, Nature Communications, Reviews, 2012
1, Nature, Amendments and Corrections, 2010
1, Nature Chemistry, Comments and Opinion, 2011
1, Scientific American, Research, 2006
1, Scientific American, Reviews, 2009
1, Nature, None, 2004
1, Nature Geoscience, Amendments and Corrections, 2014
1, Nature Chemical Biology, Comments and Opinion, 2014
1, Nature, Advertorial, 1999
1, Nature Climate Change, News, 2014
1, Nature Chemical Biology, Reviews, 2005
1, Nature Chemical Biology, Reviews, 2008
1, Nature Reviews Microbiology, Comments and Opinion, 2008
1, Scientific American, News, 2000
1, Nature, Correspondence, 2009
1, The ISME Journal, None, 2012
1, Nature Reviews Microbiology, Comments and Opinion, 2004
1, Nature Chemical Biology, News and Views, 2007
1, Nature Reviews Microbiology, Research, 2009
1, Nature Chemistry, Comments and Opinion, 2013
1, Nature Reviews Microbiology, News, 2003
1, Scientific American, Reviews, 1999
1, Nature Geoscience, Reviews, 2007
1, Nature, Books and Arts, 2004
1, Nature Reviews Microbiology, Correspondence, 2007
1, Nature, Editorial, 2015
1, Nature Chemical Biology, Research, 2007
1, Nature Chemical Biology, Research, 2008
1, Nature Reviews Microbiology, Comments and Opinion, 2009
1, Nature Geoscience, News, 2011
1, Nature Chemistry, Special Features, 2009
1, Nature Reviews Microbiology, Editorial, 2007
1, The ISME Journal, Amendments and Corrections, 2014
1, Nature Reviews Microbiology, Research Highlights, 2003
1, The ISME Journal, Amendments and Corrections, 2009
1, Nature, Amendments and Corrections, 2009
--------------------------------------------------------------------------------
publication + genre
--------------------------------------------------------------------------------
1828, Nature, Research
1261, The ISME Journal, Research
948, Scientific Reports, Research
636, Nature Communications, Research
598, Nature Geoscience, Research
520, Nature, News
493, Nature, News and Views
479, Nature News, News
396, Nature, Comments and Opinion
385, Nature Climate Change, Research
279, Nature Reviews Microbiology, Reviews
220, Nature Geoscience, News and Views
203, Scientific American, Special Features
114, Nature Climate Change, News and Views
107, Nature Climate Change, Comments and Opinion
103, Scientific American, None
93, Nature, Reviews
87, Nature Climate Change, Reviews
85, Nature Climate Change, Research Highlights
76, Nature, Special Features
75, Nature, Research Highlights
74, Nature Reports Climate Change, Research Highlights
68, Nature, Editorial
68, Nature Geoscience, Research Highlights
60, Nature Geoscience, Reviews
54, Nature Geoscience, Comments and Opinion
48, Nature Reports Climate Change, Comments and Opinion
42, Nature Climate Change, Correspondence
37, Nature Reviews Microbiology, Research Highlights
35, Nature, Correspondence
35, The ISME Journal, Comments and Opinion
33, Nature Geoscience, Editorial
33, Nature Chemical Biology, Research
32, The ISME Journal, Reviews
32, Nature Climate Change, Editorial
31, Nature Geoscience, Correspondence
31, Nature Reports Climate Change, News
27, Nature, None
25, Nature Chemistry, Research
20, Nature Climate Change, News
19, Nature Chemical Biology, Reviews
17, Nature Climate Change, Special Features
17, Scientific American, Research
16, Nature Reports Climate Change, Special Features
15, Nature Geoscience, News
14, Nature Reviews Microbiology, Correspondence
14, Nature Reviews Microbiology, News
10, Nature Reviews Microbiology, Research
9, Nature Reports Climate Change, Editorial
9, Nature Reviews Microbiology, Comments and Opinion
9, Nature Geoscience, Special Features
8, Scientific American, Reviews
7, Scientific American, Comments and Opinion
6, The ISME Journal, None
6, Nature Reviews Microbiology, Editorial
6, Nature Communications, Reviews
5, Nature Chemistry, Reviews
5, Nature, Amendments and Corrections
4, Nature Geoscience, Amendments and Corrections
4, Nature Chemistry, Comments and Opinion
4, Nature Chemical Biology, Comments and Opinion
4, Nature, Advertorial
3, Scientific American, News
2, Nature Reports Climate Change, Correspondence
2, Nature Reviews Microbiology, Special Features
2, Nature Chemical Biology, News and Views
2, The ISME Journal, Amendments and Corrections
2, Nature Reviews Microbiology, Amendments and Corrections
2, Nature, Books and Arts
2, Nature Chemistry, News and Views
1, The ISME Journal, Editorial
1, Nature Chemistry, Special Features
1, Nature Chemical Biology, Research Highlights
1, Nature Chemical Biology, Editorial
--------------------------------------------------------------------------------
publication
--------------------------------------------------------------------------------
3622, Nature
1337, The ISME Journal
1092, Nature Geoscience
948, Scientific Reports
889, Nature Climate Change
642, Nature Communications
479, Nature News
373, Nature Reviews Microbiology
341, Scientific American
180, Nature Reports Climate Change
60, Nature Chemical Biology
37, Nature Chemistry
